geoid10,name,population_2010
245100103002020,"Block 2020, Block Group 2, Census Tract 103, Baltimore city, Maryland",3
245100104001000,"Block 1000, Block Group 1, Census Tract 104, Baltimore city, Maryland",57
245100104001001,"Block 1001, Block Group 1, Census Tract 104, Baltimore city, Maryland",76
245100104001002,"Block 1002, Block Group 1, Census Tract 104, Baltimore city, Maryland",67
245100104001003,"Block 1003, Block Group 1, Census Tract 104, Baltimore city, Maryland",75
245100104001004,"Block 1004, Block Group 1, Census Tract 104, Baltimore city, Maryland",94
245100104001005,"Block 1005, Block Group 1, Census Tract 104, Baltimore city, Maryland",73
245100104001006,"Block 1006, Block Group 1, Census Tract 104, Baltimore city, Maryland",79
245100104001007,"Block 1007, Block Group 1, Census Tract 104, Baltimore city, Maryland",77
245100104001008,"Block 1008, Block Group 1, Census Tract 104, Baltimore city, Maryland",0
245100104001009,"Block 1009, Block Group 1, Census Tract 104, Baltimore city, Maryland",58
245100104001010,"Block 1010, Block Group 1, Census Tract 104, Baltimore city, Maryland",22
245100104001011,"Block 1011, Block Group 1, Census Tract 104, Baltimore city, Maryland",76
245100104001012,"Block 1012, Block Group 1, Census Tract 104, Baltimore city, Maryland",69
245100104001013,"Block 1013, Block Group 1, Census Tract 104, Baltimore city, Maryland",49
245100104001014,"Block 1014, Block Group 1, Census Tract 104, Baltimore city, Maryland",0
245100104001015,"Block 1015, Block Group 1, Census Tract 104, Baltimore city, Maryland",2
245100104001016,"Block 1016, Block Group 1, Census Tract 104, Baltimore city, Maryland",0
245100104001017,"Block 1017, Block Group 1, Census Tract 104, Baltimore city, Maryland",0
245100104001018,"Block 1018, Block Group 1, Census Tract 104, Baltimore city, Maryland",0
245100104001019,"Block 1019, Block Group 1, Census Tract 104, Baltimore city, Maryland",28
245100104001020,"Block 1020, Block Group 1, Census Tract 104, Baltimore city, Maryland",8
245100104001021,"Block 1021, Block Group 1, Census Tract 104, Baltimore city, Maryland",0
245100104002000,"Block 2000, Block Group 2, Census Tract 104, Baltimore city, Maryland",32
245100104002001,"Block 2001, Block Group 2, Census Tract 104, Baltimore city, Maryland",40
245100104002002,"Block 2002, Block Group 2, Census Tract 104, Baltimore city, Maryland",41
245100104002003,"Block 2003, Block Group 2, Census Tract 104, Baltimore city, Maryland",45
245100104002004,"Block 2004, Block Group 2, Census Tract 104, Baltimore city, Maryland",85
245100104002005,"Block 2005, Block Group 2, Census Tract 104, Baltimore city, Maryland",44
245100104002006,"Block 2006, Block Group 2, Census Tract 104, Baltimore city, Maryland",91
245100104002007,"Block 2007, Block Group 2, Census Tract 104, Baltimore city, Maryland",36
245100104002008,"Block 2008, Block Group 2, Census Tract 104, Baltimore city, Maryland",8
245100104002009,"Block 2009, Block Group 2, Census Tract 104, Baltimore city, Maryland",66
245100104002010,"Block 2010, Block Group 2, Census Tract 104, Baltimore city, Maryland",44
245100104002011,"Block 2011, Block Group 2, Census Tract 104, Baltimore city, Maryland",0
245100104002012,"Block 2012, Block Group 2, Census Tract 104, Baltimore city, Maryland",0
245100104002013,"Block 2013, Block Group 2, Census Tract 104, Baltimore city, Maryland",23
245100104002014,"Block 2014, Block Group 2, Census Tract 104, Baltimore city, Maryland",50
245100104002015,"Block 2015, Block Group 2, Census Tract 104, Baltimore city, Maryland",14
245100104002016,"Block 2016, Block Group 2, Census Tract 104, Baltimore city, Maryland",16
245100104002017,"Block 2017, Block Group 2, Census Tract 104, Baltimore city, Maryland",3
245100104002018,"Block 2018, Block Group 2, Census Tract 104, Baltimore city, Maryland",263
245100104002019,"Block 2019, Block Group 2, Census Tract 104, Baltimore city, Maryland",0
245100104002020,"Block 2020, Block Group 2, Census Tract 104, Baltimore city, Maryland",63
245100104002021,"Block 2021, Block Group 2, Census Tract 104, Baltimore city, Maryland",7
245100104002022,"Block 2022, Block Group 2, Census Tract 104, Baltimore city, Maryland",36
245100104002023,"Block 2023, Block Group 2, Census Tract 104, Baltimore city, Maryland",103
245100104002024,"Block 2024, Block Group 2, Census Tract 104, Baltimore city, Maryland",850
245100104002025,"Block 2025, Block Group 2, Census Tract 104, Baltimore city, Maryland",0
245100105001000,"Block 1000, Block Group 1, Census Tract 105, Baltimore city, Maryland",91
245100105001001,"Block 1001, Block Group 1, Census Tract 105, Baltimore city, Maryland",29
245100105001002,"Block 1002, Block Group 1, Census Tract 105, Baltimore city, Maryland",63
245100105001003,"Block 1003, Block Group 1, Census Tract 105, Baltimore city, Maryland",63
245100105001004,"Block 1004, Block Group 1, Census Tract 105, Baltimore city, Maryland",67
245100105001005,"Block 1005, Block Group 1, Census Tract 105, Baltimore city, Maryland",31
245100105001006,"Block 1006, Block Group 1, Census Tract 105, Baltimore city, Maryland",48
245100105001007,"Block 1007, Block Group 1, Census Tract 105, Baltimore city, Maryland",55
245100105001008,"Block 1008, Block Group 1, Census Tract 105, Baltimore city, Maryland",82
245100105001009,"Block 1009, Block Group 1, Census Tract 105, Baltimore city, Maryland",106
245100105001010,"Block 1010, Block Group 1, Census Tract 105, Baltimore city, Maryland",89
245100105001011,"Block 1011, Block Group 1, Census Tract 105, Baltimore city, Maryland",122
245100105002000,"Block 2000, Block Group 2, Census Tract 105, Baltimore city, Maryland",135
245100105002001,"Block 2001, Block Group 2, Census Tract 105, Baltimore city, Maryland",108
245100105002002,"Block 2002, Block Group 2, Census Tract 105, Baltimore city, Maryland",24
245100105002003,"Block 2003, Block Group 2, Census Tract 105, Baltimore city, Maryland",80
245100105002004,"Block 2004, Block Group 2, Census Tract 105, Baltimore city, Maryland",61
245100105002005,"Block 2005, Block Group 2, Census Tract 105, Baltimore city, Maryland",94
245100105002006,"Block 2006, Block Group 2, Census Tract 105, Baltimore city, Maryland",30
245100105002007,"Block 2007, Block Group 2, Census Tract 105, Baltimore city, Maryland",11
245100105002008,"Block 2008, Block Group 2, Census Tract 105, Baltimore city, Maryland",81
245100105002009,"Block 2009, Block Group 2, Census Tract 105, Baltimore city, Maryland",44
245100105002010,"Block 2010, Block Group 2, Census Tract 105, Baltimore city, Maryland",43
245100105002011,"Block 2011, Block Group 2, Census Tract 105, Baltimore city, Maryland",38
245100105002012,"Block 2012, Block Group 2, Census Tract 105, Baltimore city, Maryland",14
245100105002013,"Block 2013, Block Group 2, Census Tract 105, Baltimore city, Maryland",32
245100105002014,"Block 2014, Block Group 2, Census Tract 105, Baltimore city, Maryland",47
245100105002015,"Block 2015, Block Group 2, Census Tract 105, Baltimore city, Maryland",36
245100201001000,"Block 1000, Block Group 1, Census Tract 201, Baltimore city, Maryland",86
